Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
64	0.45282212	0.18422346	1.0032846	0.13656363	0.43378943	0.07304809	0.554928	0.3236656	200.0	200.0	320000	129.96617	11.771369	167.8345	33.08382	-130.65839	1.1653588	2592.7976548671722
65	1.474746	1.5642904	6.1925178	0.18368427	0.52294034	0.056934826	0.57546806	0.40619656	200.0	200.0	325000	117.40131	8.979368	159.84921	24.346796	-118.0721	0.95530486	2632.262859106064
66	0.6061065	0.71314275	3.5142088	0.15235274	0.19525763	0.04754171	0.28694037	0.11918517	200.0	200.0	330000	111.73863	9.426524	150.86902	25.949854	-112.70445	1.1509373	2672.1491107940674
67	11.72991	21.505423	74.036285	0.124030046	38.33077	6.3426237	52.880535	31.063799	200.0	200.0	335000	111.54321	12.3026085	147.12088	29.082756	-112.50045	1.1468307	2711.70219874382
68	2.1448553	4.311688	20.906082	0.20707747	4.516616	0.8794949	6.102052	3.6310222	200.0	200.0	340000	107.76699	12.993692	135.79861	28.789425	-108.5778	0.9946176	2749.537754535675
69	6.070947	7.107709	29.797913	0.92777365	4.845229	2.4646144	10.783668	2.2845118	200.0	200.0	345000	102.02289	11.077369	131.13162	23.138632	-102.69488	0.8015047	2789.0655636787415
70	7.3845954	4.9041357	16.952612	0.19789776	58.385796	25.857752	119.89739	19.383486	200.0	200.0	350000	94.972	10.1640215	121.95938	10.168676	-95.58839	0.7457952	2830.974600315094
71	30.936949	27.482908	110.14661	2.678019	45.05831	8.644507	61.410915	33.562374	200.0	200.0	355000	89.78209	9.43101	121.14035	5.5298424	-90.43665	0.7320147	2874.3514320850372
72	59.149647	40.169937	199.84828	10.290236	124.98456	27.380266	202.36697	93.49492	200.0	200.0	360000	86.22573	8.9974785	126.38196	18.23926	-86.8801	0.73890984	2915.3228096961975
73	82.390656	45.06972	184.8562	7.535492	119.66079	56.798473	196.7699	25.648232	200.0	200.0	365000	84.07545	9.282874	121.40627	28.839197	-84.768654	0.7850405	2959.4093329906464
74	46.267105	40.55397	133.43805	3.826522	140.41519	32.459713	191.35088	100.09967	200.0	200.0	370000	83.94085	9.110282	125.415924	37.455204	-84.75041	0.9171127	2999.957846403122
75	72.02917	36.62855	186.55481	1.0371438	0.33211726	0.15568168	0.6007393	0.1625072	200.0	200.0	375000	88.023895	9.446316	140.6581	43.654266	-89.18623	1.2598689	3042.8031373023987
76	0.57924205	0.5791375	2.0134113	0.12673649	2.8157191	1.3286809	6.0363536	1.7033387	200.0	200.0	380000	111.02172	16.371536	165.10844	45.639076	-113.09575	2.179976	3083.375910758972
77	1.4752382	1.4037422	6.727899	0.1343335	0.18484478	0.059009373	0.28598747	0.11037833	200.0	200.0	385000	122.54546	14.595991	177.64262	53.8379	-124.27625	2.3340933	3124.2838985919952
78	2.80234	3.0213656	11.654727	0.11513065	1.292875	0.32824397	1.8780559	0.881014	200.0	200.0	390000	138.60178	20.61525	179.26392	48.04442	-140.07994	2.1928205	3163.6732008457184
79	1.3286635	1.3283204	4.908768	0.24053831	0.53813875	0.09739935	0.6867882	0.40516135	200.0	200.0	395000	133.53009	16.237696	169.85742	53.989517	-134.48523	1.5167922	3203.421544790268
