Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
40	0.054556113	0.00023953375	0.054928005	0.054257058	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	200000	0.075822614	0.017091444	0.30760902	-0.025430158	0.075822614	0.017103815	0.31292197	-0.02386345	-0.07730978	3.1311822e-06	804.34739112854
41	0.05469658	0.0002720014	0.0550977	0.054371532	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	205000	0.07023022	0.016725846	0.2131507	0.025519196	0.070230134	0.016724268	0.20156148	0.02370252	-0.07062894	1.4924293e-06	825.8700377941132
42	0.054534566	0.00026125673	0.055048734	0.054325968	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	210000	0.063542165	0.01649884	0.24250905	0.023605976	0.06354219	0.0164954	0.25635475	0.022626055	-0.0633482	1.9688557e-06	847.5207049846649
43	0.05454216	0.00028018057	0.054768667	0.05405121	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	215000	0.055769216	0.016572392	0.24186236	0.0062001124	0.0557693	0.016570522	0.24515745	0.0073467307	-0.05551026	1.1033553e-06	869.1875991821289
44	0.054648213	0.00024201033	0.054994036	0.05425163	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	220000	0.04921951	0.017285844	0.1780994	-0.00070042163	0.04921956	0.017285222	0.17874089	0.00178615	-0.049371675	1.1409892e-06	890.8445031642914
45	0.054651074	0.00020088107	0.0548688	0.05436617	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	225000	0.04354578	0.0162219	0.16601142	0.001649633	0.043545708	0.016221225	0.17054291	0.0049953125	-0.043637387	1.0089411e-06	912.5607917308807
46	0.054494977	0.0002847742	0.05492752	0.05417745	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	230000	0.039141923	0.014995869	0.15464395	0.02349133	0.0391419	0.014994063	0.15550998	0.023124874	-0.03905341	6.5214164e-07	934.6805422306061
47	0.054443788	0.00021314263	0.054664694	0.054159135	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	235000	0.035259724	0.014303403	0.15431903	0.02608162	0.035259664	0.01430133	0.15290076	0.024493456	-0.035016555	5.938893e-07	956.4023292064667
48	0.054472763	8.397449e-05	0.05463181	0.05438196	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	240000	0.031513266	0.013517185	0.14248304	0.021528484	0.031513326	0.013515654	0.1422309	0.021026937	-0.03139025	5.344361e-07	978.5326416492462
49	0.05448877	4.119657e-05	0.054546915	0.054428164	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	245000	0.028579962	0.013365214	0.14454807	0.020329751	0.028579948	0.013364575	0.14762834	0.018911134	-0.028436298	5.1639137e-07	1000.0044848918915
50	0.054743648	0.0003235071	0.054997995	0.054133072	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	250000	0.025700882	0.012830913	0.1549157	0.018513981	0.025700929	0.012832438	0.14695522	0.014676677	-0.02560513	6.241627e-07	1022.1464262008667
51	0.054651044	0.00019924108	0.054883562	0.05433765	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	255000	0.023404634	0.01299745	0.16436024	0.015620151	0.023404654	0.0129971765	0.16672988	0.011627594	-0.02332852	7.2886456e-07	1043.7069277763367
52	0.054716952	0.00020792853	0.054985628	0.054456934	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	260000	0.020884957	0.012830911	0.16304684	-0.0020195777	0.020884942	0.012831	0.16156211	-0.0019416092	-0.020721463	7.826075e-07	1065.3856303691864
53	0.054513372	0.00017286213	0.054826975	0.054305073	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	265000	0.017744612	0.01300562	0.15019093	-0.014539047	0.017744606	0.013001128	0.15310703	-0.015570713	-0.017489556	8.413436e-07	1087.4136691093445
54	0.054495424	0.00022186924	0.05481019	0.05417378	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	270000	0.0148453545	0.016549015	0.1763843	-0.049925692	0.014845319	0.016542902	0.17703864	-0.049659856	-0.014549611	1.1400557e-06	1109.337691783905
55	0.054380137	0.00031610992	0.054718778	0.053845968	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	275000	0.01136731	0.01893111	0.17796597	-0.09553745	0.011367478	0.01892018	0.18867221	-0.09870643	-0.010923	1.4494353e-06	1131.40341258049
56	0.054662578	0.0002428841	0.055031188	0.054298323	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	280000	0.009102217	0.01883984	0.1854332	-0.12636586	0.0091022	0.018835194	0.18806578	-0.12638974	-0.008898386	1.4709192e-06	1153.6127307415009
57	0.05432961	0.00022671568	0.054714877	0.054015372	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	285000	0.008470134	0.0151706245	0.1858881	-0.12792394	0.008469904	0.015168932	0.18387772	-0.12818682	-0.008328041	1.584623e-06	1175.5253307819366
58	0.054516554	0.00020445984	0.054738212	0.054191794	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	290000	0.0079699755	0.0079281265	0.13964461	-0.1183238	0.0079700975	0.007942306	0.14087093	-0.11941837	-0.007978762	8.4933265e-07	1197.6355667114258
59	0.054629695	0.00023743114	0.05491803	0.05431817	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	295000	0.009822126	0.007174892	0.1380965	-0.093204215	0.009822094	0.007174039	0.1350606	-0.09037162	-0.009997078	6.0790927e-07	1219.6623754501343
60	0.05435751	0.00016891053	0.05462163	0.05419009	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	300000	0.011252229	0.01078675	0.14201558	-0.045751326	0.011252325	0.010784252	0.1380899	-0.043547913	-0.011329364	7.8996493e-07	1241.5318350791931
61	0.054494042	0.00020920522	0.05478924	0.05428039	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	305000	0.010752669	0.011677889	0.14582716	-0.014490053	0.010752624	0.0116763245	0.14687444	-0.012533948	-0.01060229	8.8059625e-07	1263.6564025878906
62	0.054527175	0.0002816785	0.054969847	0.05423989	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	310000	0.009301248	0.009498195	0.15915711	0.0059789103	0.009301154	0.0094963405	0.1554712	0.004541203	-0.009091063	7.8213606e-07	1285.5728116035461
63	0.05478583	0.0001331827	0.054959297	0.054571297	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	315000	0.008478255	0.007465132	0.17848742	0.0058740354	0.008478299	0.0074648303	0.17225282	0.006184956	-0.008320493	9.655072e-07	1307.837733745575
64	0.054556925	0.00028083587	0.054800574	0.054046687	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	320000	0.008630426	0.004842487	0.1761706	0.0069511593	0.008630512	0.0048407684	0.15296963	0.006062328	-0.008615657	1.0598103e-06	1330.1342010498047
65	0.054525334	0.00013102309	0.05462134	0.05426551	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	325000	0.009340003	0.00383677	0.16698617	0.007918208	0.009339954	0.0038381903	0.15303941	0.0078044883	-0.009306205	8.398613e-07	1352.3119359016418
66	0.054520596	0.00020174845	0.054851227	0.054309648	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	330000	0.009848854	0.003484281	0.12209151	0.007981835	0.00984888	0.0034727762	0.12383672	0.008052158	-0.009849807	6.096205e-07	1374.4561247825623
67	0.054433025	0.00018398589	0.054697428	0.054162633	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	335000	0.011279153	0.0079744505	0.15739428	0.007104167	0.011279083	0.007973128	0.15010945	0.0070121353	-0.011368085	6.1323095e-07	1396.6374592781067
68	0.054480128	0.00020250051	0.054826826	0.054310523	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	340000	0.012601657	0.011910846	0.16177417	0.0057744747	0.012601741	0.011909277	0.15906495	0.0043964954	-0.012660901	7.011198e-07	1418.8461673259735
69	0.054549765	0.00022602778	0.05485339	0.054268215	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	345000	0.012497208	0.013331998	0.18167825	0.0057246685	0.012497301	0.013331002	0.18093795	0.0054703993	-0.012410727	8.262074e-07	1441.1716718673706
70	0.05478232	0.00016636403	0.0549454	0.0544897	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	350000	0.011167182	0.012804222	0.24622615	0.0048438916	0.011166886	0.012801714	0.25198144	0.001998632	-0.0110044265	1.1184821e-06	1463.4972438812256
71	0.054611105	0.00028561224	0.05497594	0.054200597	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	355000	0.010121266	0.015124763	0.34442082	0.004330378	0.01012139	0.015118667	0.3435536	0.0045961156	-0.0100670615	2.7007773e-06	1486.1447579860687
