Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
50	42.068512	18.80318	90.0563	8.637399	200.0	19.379978	5.119247	26.588305	4.4833107	204000	1.4901161e-08	54.149414	-0.01717452	-27.107265	6.813637	0.015510961	0.21024999	13.0	618.0817928314209
51	45.190197	16.22498	72.4627	9.17289	200.0	19.550707	5.12385	27.198069	1.7501851	208000	2.6077032e-08	35.798923	-0.036984302	-23.064493	6.893744	0.013319763	0.20300001	79.0	631.3438744544983
52	47.675957	16.104624	69.91696	16.330418	200.0	21.307547	4.4201574	29.551989	4.467642	212000	2.6077032e-08	41.001427	-0.012074694	-26.35353	6.8595643	0.016196012	0.23475	4.0	644.3669147491455
53	41.400215	12.707956	65.93944	21.258667	200.0	21.977827	5.4318852	31.899553	5.524994	216000	-7.450581e-09	42.21754	-0.03021811	-30.215248	6.8807287	0.015679237	0.1875	27.0	657.7430925369263
54	43.769997	16.087992	83.40695	19.08477	200.0	17.788977	6.014948	29.616938	-0.20942602	220000	-2.6077032e-08	42.898506	-0.017707318	-24.732048	6.8348255	0.017160615	0.1935	12.0	670.9028513431549
55	54.098248	13.595893	85.48294	38.461018	200.0	20.77301	5.7802553	32.64102	7.269009	224000	4.4703484e-08	46.71238	-0.012300275	-33.309883	6.7666435	0.014754292	0.16875	4.0	684.0905747413635
56	46.160084	14.675958	78.26593	24.701254	200.0	23.374376	6.175556	36.586273	4.4849772	228000	-3.8417056e-09	52.67437	-0.011289972	-37.300926	6.820931	0.016513709	0.20325	5.0	697.5071432590485
57	51.33733	13.820759	73.87516	26.280556	200.0	21.683308	5.3339715	32.485954	1.7826	232000	-1.4901161e-08	36.430836	-0.022892915	-24.969582	6.8324194	0.016275397	0.18474999	15.0	710.457218170166
58	56.699593	14.036925	79.646194	30.966587	200.0	24.704004	5.4996095	33.82682	4.4663353	236000	-7.450581e-09	48.183983	-0.011462621	-33.358566	6.7255974	0.012890831	0.16275	5.0	723.5586373806
59	52.30841	18.567762	81.58955	16.63575	200.0	25.81339	4.8217473	36.341892	11.817325	240000	-2.9802322e-08	41.156174	-0.013719436	-26.017223	6.747019	0.018689662	0.21975	9.0	736.653303861618
60	56.233086	13.583665	77.07838	26.744274	200.0	24.89266	5.4500237	35.54056	10.056346	244000	1.3038516e-08	40.08576	-0.018137585	-30.079262	6.744953	0.018342685	0.17774999	15.0	750.3030261993408
61	51.73531	16.362022	79.41678	21.184673	200.0	26.092375	4.584578	35.332073	4.6277385	248000	-2.2351742e-08	34.400654	-0.0073896013	-22.42139	6.743532	0.01577145	0.21024999	4.0	763.7328341007233
62	56.267773	16.261534	82.380554	14.70541	200.0	26.91732	4.982044	37.515	12.460692	252000	1.4901161e-08	39.719944	-0.013233576	-23.525352	6.7167077	0.015024668	0.19	5.0	776.4400990009308
63	55.657177	16.751104	82.99189	7.0420446	200.0	27.940456	4.4191356	36.525463	12.142834	256000	0.0	28.355291	-0.007005319	-16.68591	6.714898	0.01563834	0.21925	4.0	789.7269506454468
64	52.99942	24.58007	86.06909	4.751657	200.0	26.135242	7.197351	36.15787	-0.20090923	260000	0.0	43.975792	-0.008319704	-25.387726	6.6635947	0.016246255	0.19475001	4.0	803.097517490387
65	60.081226	13.097753	86.16792	40.657463	200.0	27.634722	7.375486	38.995174	3.305679	264000	-1.4901161e-08	31.333862	-0.03544636	-17.631226	6.6901917	0.008392251	0.19775	79.0	816.3413224220276
