# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
32.277058,1000,386.368412
46.181502,1000,387.45856
16.693187,1000,388.557743
87.112866,1000,389.647007
34.819815,1000,390.71267
51.839019,1000,391.828068
91.605961,1000,392.929263
87.834604,1000,394.009325
16.215301,1000,395.113297
43.528477,1000,396.210779
37.722773,1000,397.335287
16.940815,1000,398.37536
42.893429,1000,399.466643
102.277984,1000,400.586714
52.312577,1000,401.674622
85.923576,1000,402.723458
133.838523,1000,403.799481
159.359892,1000,404.893525
27.172542,1000,405.999274
46.408501,1000,407.085042
147.533946,1000,408.172427
113.468837,1000,409.233488
145.1172,1000,410.29473
147.877791,1000,411.395058
144.314583,1000,412.527621
83.048006,1000,413.622224
16.455921,1000,414.720494
117.413569,1000,415.809505
162.69603,1000,416.902037
84.016915,1000,418.010739
11.056665,1000,419.096694
110.232412,1000,420.178417
18.03717,1000,421.259602
178.01305,1000,422.356082
30.37237,1000,423.492791
122.595729,1000,424.589903
114.914555,1000,425.723724
57.322724,1000,426.820071
85.157089,1000,427.889647
39.944346,1000,429.009276
64.430595,1000,430.128172
87.38538,1000,431.226126
104.365217,1000,432.361022
64.876716,1000,433.486851
198.471875,1000,434.633215
55.863577,1000,435.763784
173.437399,1000,436.859974
83.904344,1000,437.958898
113.92509,1000,439.093988
180.686446,1000,440.173369
173.580122,1000,441.312067
87.393439,1000,442.439907
190.872358,1000,443.549178
145.785572,1000,444.663665
107.186806,1000,445.758692
92.784186,1000,446.868213
49.461271,1000,447.97246
192.89681,1000,449.056626
14.898055,1000,450.108819
23.845097,1000,451.206473
175.008286,1000,452.321379
198.727995,1000,453.460202
122.238486,1000,454.562566
49.21931,1000,455.670171
57.513614,1000,456.748876
51.710834,1000,457.893709
139.156736,1000,459.016457
34.268295,1000,460.164813
54.937764,1000,461.273682
103.079739,1000,462.380831
30.053867,1000,463.509373
32.075809,1000,464.63028
143.197719,1000,465.75741
60.827154,1000,466.879554
49.850043,1000,467.995794
16.678999,1000,469.036095
29.280651,1000,470.116725
11.453785,1000,471.193814
11.544187,1000,472.259996
34.293504,1000,473.346294
64.668306,1000,474.424932
9.529093,1000,475.496088
73.046993,1000,476.585919
18.536233,1000,477.670086
31.238031,1000,478.765651
212.172116,1000,479.880595
160.228149,1000,481.005136
28.791749,1000,482.138335
77.819639,1000,483.259129
104.344426,1000,484.35351
41.889279,1000,485.505292
17.452411,1000,486.643026
38.56777,1000,487.719999
18.390689,1000,488.803072
254.207975,1000,489.897696
17.68201,1000,491.032719
260.847467,1000,492.146545
48.742943,1000,493.257896
18.156261,1000,494.378737
29.203471,1000,495.491937
42.487228,1000,496.606056
55.921998,1000,497.706974
24.235268,1000,498.778901
92.138769,1000,499.88296
25.226768,1000,500.997674
49.83811,1000,502.108853
16.842835,1000,503.163131
115.760922,1000,504.275266
20.013536,1000,505.389219
70.455389,1000,506.494448
41.351996,1000,507.566092
184.296049,1000,508.662615
70.954832,1000,509.780615
100.844243,1000,510.862785
79.067395,1000,511.926162
70.325477,1000,513.013289
230.881807,1000,514.14984
84.982849,1000,515.255098
135.346023,1000,516.318197
325.542702,1000,517.43397
34.314879,1000,518.563659
35.585549,1000,519.682391
85.681302,1000,520.813884
75.185788,1000,521.905575
103.337828,1000,523.032976
204.472444,1000,524.190465
186.777777,1000,525.332449
184.287015,1000,526.638833
91.801488,1000,527.778394
237.126806,1000,528.873151
163.104085,1000,529.994185
132.322183,1000,531.07256
189.485829,1000,532.175662
157.054112,1000,533.278418
301.120688,1000,534.3932
135.652166,1000,535.499454
96.362632,1000,536.611336
13.112627,1000,537.700862
30.116747,1000,538.823176
172.069751,1000,539.9648
124.863238,1000,541.068058
199.205281,1000,542.193875
153.095214,1000,543.47788
287.630084,1000,544.599775
263.536454,1000,545.722237
77.626463,1000,546.824666
38.140783,1000,547.928811
133.382449,1000,549.022755
312.519448,1000,550.160009
225.56119,1000,551.298892
82.263696,1000,552.416488
67.485251,1000,553.499163
357.219348,1000,554.639875
130.268654,1000,555.713745
41.641415,1000,556.795199
184.756065,1000,557.910979
75.521709,1000,558.965602
152.901752,1000,560.058149
119.524322,1000,561.161392
157.036063,1000,562.246263
84.722539,1000,563.361622
166.087337,1000,564.445774
