# {"t_start": 1545445904.3468816, "env_id": null} 
r,l,t
150.661133,1000,579.603753
128.342181,1000,580.744528
134.107333,1000,581.84063
18.982088,1000,582.932642
82.197035,1000,584.094404
139.572481,1000,585.259807
102.808858,1000,586.314506
86.632288,1000,587.399613
142.074456,1000,588.531764
313.0856,1000,589.688238
75.133896,1000,590.808727
168.290153,1000,591.896085
237.107395,1000,593.006171
253.766578,1000,594.14138
214.899365,1000,595.293971
423.726899,1000,596.459776
168.773874,1000,597.573079
65.374022,1000,598.719171
108.267618,1000,599.91515
20.831553,1000,601.051692
107.740371,1000,602.159873
154.9163,1000,603.235472
202.03479,1000,604.354986
187.871424,1000,605.438612
253.574752,1000,606.535484
280.176606,1000,607.605007
92.23303,1000,608.677887
63.192167,1000,609.773063
206.334466,1000,610.899946
144.339512,1000,612.074843
31.659144,1000,613.191235
354.235397,1000,614.356957
261.938735,1000,615.509215
457.425049,1000,616.744538
153.906887,1000,617.840816
438.86555,1000,618.996963
122.554897,1000,620.098365
308.564629,1000,621.234544
248.676042,1000,622.348506
351.077995,1000,623.517317
232.130194,1000,624.765422
414.980548,1000,626.026682
238.830488,1000,627.221093
89.207521,1000,628.380116
183.565019,1000,629.577684
324.520547,1000,630.758239
50.433895,1000,631.933423
56.103919,1000,633.129962
261.989834,1000,634.336903
23.962159,1000,635.530178
115.310931,1000,636.727293
13.510834,1000,637.845162
223.874888,1000,639.024151
287.383059,1000,640.178182
18.91881,1000,641.32708
204.755987,1000,642.519061
107.399174,1000,643.669965
127.370881,1000,644.804676
106.656754,1000,645.859428
277.109938,1000,646.964804
120.395177,1000,648.029048
25.672354,1000,649.097171
26.09888,1000,650.17525
423.067416,1000,651.318212
382.767896,1000,652.447673
400.366407,1000,653.565551
450.115418,1000,654.718045
53.292665,1000,655.858015
13.473494,1000,656.965423
134.647221,1000,658.132757
40.813791,1000,659.310569
214.634437,1000,660.431675
121.792492,1000,661.568502
128.73388,1000,662.708173
176.827298,1000,663.883774
93.094806,1000,665.066742
296.090764,1000,666.230915
420.230412,1000,667.393097
389.0664,1000,668.558758
463.808534,1000,669.748933
371.254016,1000,670.938561
446.758427,1000,672.124769
315.413293,1000,673.284641
268.574824,1000,674.458782
353.503473,1000,675.576824
266.72985,1000,676.721756
325.697983,1000,677.873376
528.950269,1000,679.021517
369.547509,1000,680.171383
376.468316,1000,681.351509
33.621708,1000,682.456025
368.128719,1000,683.624869
252.683982,1000,684.793178
358.187683,1000,685.962123
377.071981,1000,687.156135
419.046416,1000,688.341873
395.451912,1000,689.557815
416.417996,1000,690.735344
426.544692,1000,691.916738
358.624875,1000,693.073733
25.102342,1000,694.201792
249.12028,1000,695.395538
534.229486,1000,696.643826
497.702981,1000,697.87987
179.585583,1000,699.053329
520.874459,1000,700.246223
467.451536,1000,701.399959
15.325621,1000,702.567888
157.511431,1000,703.683921
45.835934,1000,704.859617
93.457621,1000,706.051264
514.998036,1000,707.304953
361.042258,1000,708.50416
24.348559,1000,709.69583
355.509683,1000,710.904921
27.265808,1000,712.074023
171.296912,1000,713.255775
367.195166,1000,714.448637
262.238498,1000,715.606262
106.562237,1000,716.76017
380.121067,1000,717.901304
427.18437,1000,719.049754
60.970337,1000,720.176489
67.933629,1000,721.317863
79.413332,1000,722.482738
125.771981,1000,723.650745
490.886847,1000,724.863267
253.873471,1000,726.049969
51.094414,1000,727.203725
83.936773,1000,728.366106
155.647694,1000,729.517553
454.556815,1000,730.715267
262.797175,1000,731.874934
321.318096,1000,732.994485
488.576303,1000,734.175799
372.252332,1000,735.334155
492.105031,1000,736.527528
249.319611,1000,737.65247
378.48847,1000,738.769882
125.027015,1000,739.844405
373.92661,1000,740.999399
217.080855,1000,742.139768
371.123869,1000,743.294192
58.220275,1000,744.45583
318.872312,1000,745.603028
63.826285,1000,746.726681
410.465077,1000,747.906379
286.005478,1000,749.032404
263.323244,1000,750.177532
90.399053,1000,751.309314
107.266644,1000,752.429299
132.875663,1000,753.605145
501.611181,1000,754.806722
81.776463,1000,755.90518
479.646193,1000,757.055351
375.489845,1000,758.201823
126.308003,1000,759.327106
317.212671,1000,760.532143
374.103372,1000,761.644994
211.158274,1000,762.784124
147.738151,1000,763.88407
294.529989,1000,765.001318
296.444553,1000,766.118517
313.64541,1000,767.234844
169.968444,1000,768.343748
466.274174,1000,769.562553
381.002974,1000,770.718756
150.945755,1000,771.854323
312.655524,1000,773.038972
418.773669,1000,774.240711
218.696657,1000,775.362693
75.326597,1000,776.468873
441.320727,1000,777.615188
277.058926,1000,778.782816
337.2945,1000,779.937027
301.220912,1000,781.070244
291.187636,1000,782.212005
384.603397,1000,783.381564
212.40741,1000,784.479215
466.378047,1000,785.593373
46.971318,1000,786.688073
253.619198,1000,787.81861
69.566644,1000,788.910608
166.136684,1000,790.109941
245.57847,1000,791.289584
141.022735,1000,792.467552
442.711518,1000,793.685023
254.750844,1000,794.833449
410.818798,1000,795.987093
57.86278,1000,797.118409
278.435587,1000,798.344038
505.276097,1000,799.599394
488.195026,1000,800.826117
60.857454,1000,801.999318
10.386813,1000,803.125193
138.824542,1000,804.245523
195.434128,1000,805.427256
437.338255,1000,806.628506
448.177429,1000,807.818891
168.486258,1000,808.963036
479.940459,1000,810.16206
171.902038,1000,811.326106
37.909793,1000,812.428175
414.131996,1000,813.603032
337.882101,1000,814.777209
454.652067,1000,815.886044
463.655514,1000,817.007316
480.89748,1000,818.177042
223.48442,1000,819.276897
333.464013,1000,820.407861
208.675412,1000,821.547172
228.180829,1000,822.703705
536.538754,1000,823.886643
245.775261,1000,825.03305
296.006617,1000,826.215036
26.384824,1000,827.350501
6.515672,1000,828.463009
253.957089,1000,829.607347
470.149622,1000,830.732694
8.895885,1000,831.886347
393.040602,1000,833.024559
28.294782,1000,834.168113
430.923497,1000,835.315853
321.201664,1000,836.493949
214.897291,1000,837.669942
143.91539,1000,838.883232
9.258098,1000,840.046557
8.894199,1000,841.134976
196.120845,1000,842.35001
350.04176,1000,843.558028
235.828452,1000,844.73981
260.102591,1000,845.902782
440.076021,1000,847.129797
427.141432,1000,848.371855
282.677366,1000,849.567554
557.931977,1000,850.741853
291.151082,1000,851.877673
302.710071,1000,853.045135
111.697527,1000,854.173783
281.49298,1000,855.345232
210.67079,1000,856.546144
288.868458,1000,857.734862
520.126657,1000,858.93602
151.109897,1000,860.032883
170.457376,1000,861.20616
188.164741,1000,862.397567
116.27793,1000,863.533138
287.578335,1000,864.673208
235.482363,1000,865.793655
278.168317,1000,866.977894
213.286457,1000,868.156964
56.366349,1000,869.313743
550.840392,1000,870.505035
29.00688,1000,871.600442
304.251228,1000,872.7533
591.780796,1000,873.96382
30.57474,1000,875.067115
28.438503,1000,876.184412
395.959148,1000,877.39663
524.218315,1000,878.622437
451.46665,1000,879.842192
153.365168,1000,880.992702
278.8422,1000,882.175467
119.052284,1000,883.349974
418.637549,1000,884.506354
78.217482,1000,885.632649
465.129809,1000,886.78907
20.388812,1000,887.909846
7.618197,1000,889.008849
222.138316,1000,890.146173
288.904736,1000,891.298397
293.496011,1000,892.450129
140.630338,1000,893.543826
102.207773,1000,894.631221
487.51917,1000,895.751054
233.020041,1000,896.889989
161.806458,1000,898.035296
221.357155,1000,899.169479
235.730469,1000,900.310605
246.436107,1000,901.528785
289.996875,1000,902.705908
323.705616,1000,903.852899
30.847651,1000,905.004272
15.232979,1000,906.153169
10.222216,1000,907.293427
100.867266,1000,908.410137
159.512635,1000,909.474026
422.258407,1000,910.607743
508.047504,1000,911.771087
27.676088,1000,912.868205
13.426367,1000,913.969154
289.810911,1000,915.060637
391.700592,1000,916.188416
13.504051,1000,917.252989
131.038024,1000,918.339205
