Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
38	115.47182	46.374004	195.85712	8.833144	186.44493	19.883448	204.24828	131.40775	200.0	200.0	190000	55.492718	9.357142	72.07143	14.314657	55.49268	9.357687	72.380356	14.890465	-56.367275	0.8825368	1489.7941546440125
39	139.20685	40.75935	197.63698	45.06994	176.34659	41.583103	203.17322	93.35311	200.0	200.0	195000	56.545654	9.077438	73.5538	13.001742	56.545677	9.077775	73.39248	13.198263	-57.32549	0.87429357	1533.974802494049
40	156.17711	46.53322	206.84125	2.5622342	195.38155	5.4262266	201.4074	183.61313	200.0	200.0	200000	56.978027	9.240934	75.09314	12.0008545	56.978027	9.241404	74.75967	12.650689	-57.742443	0.87932694	1580.5330471992493
41	150.2243	45.189026	207.25809	13.45241	183.31961	21.454811	204.74341	121.25504	200.0	200.0	205000	57.422188	9.689412	78.71996	17.4968	57.422123	9.6898985	79.49188	18.429855	-58.211025	0.92819434	1626.7174799442291
42	154.39967	43.68984	200.55142	9.380098	186.72095	14.765228	198.02153	144.27792	200.0	200.0	210000	58.205704	10.25046	79.28502	19.635103	58.20565	10.251272	78.57547	14.817838	-59.043964	1.1098927	1672.5857465267181
43	152.07288	56.864395	201.49341	14.384526	187.68576	18.678665	199.26665	132.5816	200.0	200.0	215000	60.04043	10.365447	78.643036	20.158382	60.040466	10.365921	78.36658	14.56364	-61.034657	1.2671126	1719.5040264129639
44	163.7186	56.279392	202.05797	3.9367633	195.55753	4.692199	202.74014	185.86131	200.0	200.0	220000	62.65852	10.266316	79.27464	19.57104	62.65857	10.267045	79.38366	16.587368	-63.674793	1.3169649	1766.6222414970398
45	161.49104	49.393806	201.53409	25.816936	200.43384	1.9754256	202.99742	197.40067	200.0	200.0	225000	64.803246	8.949113	79.673004	14.565511	64.80325	8.949203	79.42203	12.0097275	-65.71514	1.0595243	1814.1660068035126
46	164.12857	50.2952	202.41068	17.790033	192.26073	18.065477	204.40475	139.42805	200.0	200.0	230000	64.27439	8.85779	79.77561	10.177995	64.27438	8.858571	79.826485	9.875519	-65.032166	0.8556032	1862.3925321102142
47	146.52165	56.98309	200.41154	4.3108597	180.904	20.144175	201.95677	148.22446	200.0	200.0	235000	63.98269	10.0594	80.089676	10.953737	63.98263	10.059802	80.27126	9.156162	-64.80422	0.87009704	1907.6964461803436
48	166.502	34.374195	202.95874	90.34564	199.13388	5.9216657	206.53548	186.88289	200.0	200.0	240000	64.84456	10.570024	80.897255	5.0776863	64.84457	10.570085	81.057076	2.7951646	-65.67828	0.91806024	1954.3229780197144
49	171.0713	48.97558	206.04024	13.291217	188.89114	19.107103	200.96739	132.65541	200.0	200.0	245000	65.623245	10.492198	81.656815	1.0953441	65.62321	10.492387	81.60304	-3.7832136	-66.41414	0.9245878	2004.5229752063751
50	177.35533	39.579422	202.8091	17.198286	181.71558	24.225813	203.33159	132.9502	200.0	200.0	250000	65.93896	10.868206	82.532845	9.455658	65.93899	10.86902	82.56646	8.740986	-66.68712	1.0484717	2053.096753358841
51	186.38826	16.881176	201.97626	138.31384	197.32724	4.519775	202.12544	187.81985	200.0	200.0	255000	65.90303	11.662519	82.898224	12.959408	65.90294	11.663024	83.044426	13.049554	-66.634285	1.0786405	2102.9852681159973
52	172.99037	40.852833	201.30408	26.940886	196.0568	4.752145	201.89095	187.81352	200.0	200.0	260000	65.88959	12.537384	83.290184	10.779409	65.88956	12.537571	83.654076	4.4066534	-66.731026	1.263919	2152.53004693985
53	174.50102	42.608597	203.9379	17.409811	195.49118	3.8509464	201.10248	187.6197	200.0	200.0	265000	66.38907	13.015647	84.12143	8.913589	66.38906	13.015368	84.21235	7.8214617	-67.3034	1.3738931	2201.434731245041
54	181.33086	37.9512	202.56285	31.726776	188.07706	18.538763	199.72108	133.29381	200.0	200.0	270000	67.58611	13.046947	85.11848	5.3955235	67.58617	13.04659	85.067924	6.7487	-68.47302	1.4967628	2250.2942843437195
