Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
39	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	195000	1410469100000.0	553183150000.0	2715782200000.0	-54218764.0	1410534600000.0	553233600000.0	2715557300000.0	-94058530.0	1433544700000.0	564606700000.0	2772049600000.0	2662048.5	93.57248	2.1205866	97.89116	75.620056	-1443959000000.0	4.6194093e+20	4.610485e+20	4.8978187e+20	969.2121279239655
40	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	200000	1425180200000.0	612776740000.0	2816491000000.0	-55835228.0	1425207500000.0	612788100000.0	2816377000000.0	-96109460.0	1444803400000.0	623399530000.0	2881901300000.0	2782936.8	93.5676	2.1225035	97.955956	74.94187	-1447190000000.0	5.086253e+20	5.0794552e+20	2.4401785e+20	996.1637899875641
41	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	205000	1367901900000.0	653271430000.0	2844049300000.0	-59570700.0	1367901100000.0	653247700000.0	2843911400000.0	-100499950.0	1380444500000.0	660407200000.0	2879365300000.0	2786962.5	93.5678	2.1244357	97.94772	77.03705	-1379183600000.0	5.383943e+20	5.3766354e+20	1.335497e+20	1023.2874126434326
42	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	210000	1235216100000.0	657226140000.0	2729163400000.0	-66418036.0	1235163700000.0	657159000000.0	2728988000000.0	-109758776.0	1241008000000.0	660279300000.0	2751055000000.0	2594142.0	93.57282	2.115977	97.94762	74.660934	-1235870500000.0	5.5994113e+20	5.5855483e+20	8.838336e+19	1050.3477764129639
43	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	215000	1098336900000.0	639389860000.0	2543436700000.0	-78449590.0	1098194400000.0	639251500000.0	2542811700000.0	-127243410.0	1100819600000.0	639156500000.0	2558511300000.0	2414579.0	93.568436	2.1217782	97.928375	76.813126	-1090787300000.0	5.8083026e+20	5.7757483e+20	1.1779769e+20	1077.6095776557922
44	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	220000	977904200000.0	610540450000.0	2373519000000.0	-80303730.0	977684900000.0	610337950000.0	2372984600000.0	-118773860.0	979164800000.0	608919300000.0	2380352000000.0	2269726.0	93.564865	2.1285305	97.92976	77.48132	-966298900000.0	5.828746e+20	5.7778062e+20	1.6324903e+20	1104.7480278015137
45	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	225000	871630000000.0	578963400000.0	2168991000000.0	-179086020.0	871374300000.0	578714660000.0	2167864000000.0	-273994530.0	872574940000.0	576843900000.0	2177721300000.0	2145358.2	93.56749	2.122997	97.95749	75.93393	-858202500000.0	5.600352e+20	5.5377496e+20	1.9828039e+20	1131.859190940857
46	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	230000	775034100000.0	545673180000.0	2029354600000.0	-169768100.0	774780600000.0	545413900000.0	2028935200000.0	-270726080.0	775888440000.0	543402430000.0	2029557600000.0	2020692.0	93.56919	2.120617	97.98164	77.74045	-760852700000.0	5.271047e+20	5.2064536e+20	2.2062334e+20	1159.204686164856
47	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	235000	687085200000.0	512888300000.0	1854131000000.0	-164585250.0	686868300000.0	512649950000.0	1853702100000.0	-275061540.0	688172500000.0	510795120000.0	1891561500000.0	1908184.5	93.568436	2.1235664	97.94826	74.477066	-672837530000.0	4.8393743e+20	4.7804436e+20	2.3745324e+20	1186.3772399425507
48	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	240000	608409100000.0	480213100000.0	1732386800000.0	-611931650.0	608248400000.0	480021280000.0	1731662200000.0	-335597280.0	609587700000.0	478328130000.0	1735359200000.0	1800553.0	93.56421	2.125319	97.92485	74.08482	-594022000000.0	4.385913e+20	4.3384554e+20	2.5525889e+20	1213.714774131775
49	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	245000	535399560000.0	448116060000.0	1579912000000.0	-650007230.0	535296640000.0	447981880000.0	1579585500000.0	-906678700.0	536908920000.0	446707660000.0	1578301000000.0	1683097.0	93.562614	2.1273508	97.91568	75.552345	-521177170000.0	3.87337e+20	3.8410786e+20	2.705826e+20	1241.103313922882
50	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	250000	469994440000.0	417122100000.0	1446591500000.0	-856190340.0	469944140000.0	417043640000.0	1445659500000.0	-1010081340.0	471711740000.0	416158480000.0	1476669200000.0	1586000.4	93.568184	2.1171677	97.923035	76.46805	-455997820000.0	3.3840818e+20	3.3682362e+20	2.7745659e+20	1268.4813146591187
51	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	255000	409896400000.0	387144550000.0	1337969200000.0	-941925250.0	409871650000.0	387131640000.0	1337775200000.0	-1521286100.0	411745580000.0	386419650000.0	1372886700000.0	1475615.8	93.572075	2.1200504	97.95405	76.475945	-396089660000.0	2.9200369e+20	2.91946e+20	2.8035096e+20	1295.9120094776154
52	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	260000	359809350000.0	352562540000.0	1219074700000.0	-1279773000.0	359603800000.0	352766700000.0	1219271900000.0	-1669342200.0	361440150000.0	351493060000.0	1258165800000.0	1372975.2	93.57147	2.1166446	97.90494	75.7288	-344343700000.0	2.4758483e+20	2.479295e+20	3.3924075e+20	1323.2086625099182
53	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	265000	315189400000.0	316191300000.0	1112467200000.0	-1582126700.0	314956580000.0	316445900000.0	1113092100000.0	-2075798100.0	316501330000.0	315046500000.0	1158245600000.0	1269797.4	93.57289	2.1187036	97.946045	78.10736	-299667650000.0	2.1307376e+20	2.1332661e+20	3.484029e+20	1350.7128765583038
54	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	270000	275213000000.0	281791860000.0	1002852500000.0	-1980047500.0	274939020000.0	282100730000.0	1003806900000.0	-2460309000.0	276147670000.0	280522230000.0	1036830700000.0	1164292.6	93.5699	2.1190498	97.94514	76.59239	-260432050000.0	1.8290232e+20	1.831121e+20	3.1628235e+20	1378.2487800121307
55	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	275000	237954100000.0	248661400000.0	901697300000.0	-2446524000.0	237669370000.0	248986470000.0	902279660000.0	-3106812000.0	238405630000.0	247073980000.0	941413600000.0	1055566.5	93.56486	2.1219187	98.007866	76.56314	-223954220000.0	1.5509605e+20	1.5523822e+20	2.7699752e+20	1405.6896505355835
56	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	280000	203081000000.0	216605250000.0	791199900000.0	-2795687400.0	202801550000.0	216940660000.0	791362540000.0	-3591507500.0	203131450000.0	214764010000.0	799624000000.0	943631.7	93.56514	2.1232305	97.97041	76.02037	-189917560000.0	1.297327e+20	1.2984871e+20	2.3812621e+20	1433.262433052063
57	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	285000	169101950000.0	185662460000.0	688709100000.0	-3427880400.0	168841540000.0	186005880000.0	688277900000.0	-4341526500.0	168702070000.0	183421550000.0	704819700000.0	827691.1	93.568794	2.1216042	97.95207	78.530334	-156666950000.0	1.04332825e+20	1.047209e+20	2.027171e+20	1460.8171513080597
58	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	290000	138823680000.0	156297640000.0	614284300000.0	-4265516800.0	138597340000.0	156635640000.0	613481640000.0	-5463465500.0	137952410000.0	153682260000.0	625952600000.0	686338.7	93.567406	2.1178296	97.93052	73.02878	-127247760000.0	8.226013e+19	8.28944e+19	1.6627983e+20	1488.4328694343567
59	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	295000	111578670000.0	128452180000.0	521540200000.0	-5563105300.0	111414890000.0	128748530000.0	520325820000.0	-6881961500.0	110275240000.0	125395640000.0	532863980000.0	-4064976.0	93.56339	2.1244817	97.945175	74.866516	-101311140000.0	6.466035e+19	6.554164e+19	1.2381312e+20	1516.0592081546783
60	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	300000	86411250000.0	102651020000.0	440781000000.0	-6371278000.0	86309910000.0	102910770000.0	440783270000.0	-7696300500.0	84813005000.0	99120660000.0	436214270000.0	-33526794.0	93.572495	2.1215925	97.97653	76.17494	-78178470000.0	5.0474194e+19	5.1116287e+19	7.829568e+19	1543.7076189517975
61	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	305000	64137760000.0	78848190000.0	345093370000.0	-9179795000.0	64104784000.0	79114910000.0	345476560000.0	-10095826000.0	62365987000.0	75000340000.0	335214200000.0	-126235970.0	93.56869	2.119551	97.93937	77.01494	-58035480000.0	3.887837e+19	3.960885e+19	4.2177376e+19	1571.3865022659302
62	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	310000	45048287000.0	57617203000.0	269919850000.0	-10709402000.0	45072540000.0	57886466000.0	270556450000.0	-13527254000.0	43400258000.0	53747057000.0	254037500000.0	-351656860.0	93.56599	2.1210406	97.95243	76.61123	-41089820000.0	2.9561753e+19	3.033684e+19	2.268375e+19	1599.0936708450317
